experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,718x496,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,7492927.063,2154.946312,21.11171331,27655.54619,0.706594199,0.548120974,0.410686412,0.315160121,58.27786446
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,347x277,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,2617553,3101.330655,27.28066994,17250.20507,0.505841645,0.433667886,0.379409895,0.344505935,36.66988134
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,659x497,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,29272338.26,24431.95465,90.63569423,88829.69716,0.697130047,0.655714051,0.623206086,0.593342354,54.08818436
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,741x497,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,20096759.77,8405.087084,55.73252885,55052.8434,0.763827917,0.674153408,0.592377001,0.532653157,64.46826863
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,741x497,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,6369302.705,2365.985523,17.66341195,29208.8654,0.615605406,0.420662631,0.275130133,0.209210939,57.98690677
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PianoL,benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,707x481,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,15816585.25,5308.803285,49.14211178,41335.93561,0.807505888,0.726776737,0.653672162,0.594968526,55.73038435
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Piano,benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,707x481,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,5987040.232,1535.421931,18.60172697,22230.19771,0.69004269,0.516395633,0.402412274,0.33234945,58.48038912
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Pipes,benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,735x485,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,8010523.77,2905.166807,23.29168756,31609.34638,0.60997261,0.446976349,0.329952722,0.278632946,61.52586293
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playroom,benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,699x476,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,8933813.683,3742.300638,28.38582421,34319.1899,0.698291858,0.57943367,0.465548029,0.384112631,56.47411799
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,681x462,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,7756596.498,3210.146901,25.33560397,31349.63021,0.63641174,0.480428151,0.398348544,0.345522188,54.94785213
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playtable,benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,680x463,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,12834675.65,6120.641774,41.88931167,43305.12714,0.730697303,0.61547349,0.51856264,0.454354673,54.88759708
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Recycle,benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,720x486,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,7082201.846,1744.83174,20.58378701,24501.81671,0.733505393,0.590634964,0.456120465,0.344743902,63.67701507
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Shelves,benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,738x497,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,8336315.731,2146.535831,25.34104154,26573.20379,0.756822154,0.625312723,0.510732145,0.415758515,58.20916629
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,450x375,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,1881487,1048.587293,11.41595879,13146.0933,0.486317744,0.320601655,0.227161857,0.168337257,43.47078228
plusblg_40_3x3gc_1_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Vintage,benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0plusblg_40_3x3gc_1_gs_1_alph_0.png,722x480,None,3x3,blg_gs_1_gc_1_alpha_0,FALSE,33504020,24542.62197,99.05427818,91111.31606,0.837721256,0.779026073,0.720688625,0.66309917,56.87340331
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,718x496,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,5012570.63,1345.371243,14.12317952,21851.69263,0.65215909,0.451833945,0.300010143,0.210927595,60.70198917
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,347x277,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,2208152,2654.914465,23.01380942,15960.46328,0.441234406,0.353521141,0.307642602,0.277470323,43.99374771
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,659x497,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,28839356.39,23459.58392,89.29505612,87044.07757,0.690609257,0.64595454,0.614081315,0.585384885,59.41894865
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,741x497,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,21211824.2,9118.079568,58.8248363,57340.34937,0.756612025,0.661027807,0.582293611,0.529658091,61.7963047
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,741x497,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,4634171.25,1658.771553,12.85152859,24456.92971,0.578705077,0.356656951,0.211110587,0.153954736,59.78260779
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PianoL,benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,707x481,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,13891109.82,4618.15475,43.1596619,38553.48984,0.781916645,0.680544595,0.602276187,0.543519733,58.73263907
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Piano,benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,707x481,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,4812109.214,1166.377077,14.95121768,19375.32265,0.668896456,0.479164466,0.36511586,0.30010191,60.39538288
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Pipes,benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,735x485,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,7086652.192,2509.083223,20.60540527,29375.65183,0.591416077,0.414570746,0.295706585,0.243877972,59.05077147
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playroom,benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,699x476,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,7345787.946,2986.861359,23.34011574,30660.21692,0.673464071,0.537054218,0.416893317,0.336134694,57.02438045
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,681x462,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,5639745.631,2142.00192,18.42127044,25608.24976,0.613446174,0.44805882,0.359665397,0.298539297,56.58576512
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playtable,benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,680x463,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,8436726.759,3484.731103,27.53545834,32675.74309,0.692175133,0.569679662,0.463392027,0.392248568,56.06801224
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Recycle,benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,720x486,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,3975033.603,845.9931877,11.55308008,17061.01809,0.675653288,0.486271569,0.330580962,0.222113716,64.08637023
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Shelves,benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,738x497,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,6466411.524,1469.023907,19.65683743,21983.11738,0.740282401,0.594543492,0.475898652,0.377927743,68.6609695
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,450x375,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,1363358,709.5432735,8.272201053,10813.93758,0.46005752,0.281739194,0.181788947,0.120986336,44.65033388
plusblg_40_3x3gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Vintage,benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0plusblg_40_3x3gc_2_gs_1_alph_0.png,722x480,None,3x3,blg_gs_1_gc_2_alpha_0,FALSE,27383053.08,19135.74126,80.95770471,80451.563,0.822708203,0.752660101,0.685370404,0.616859676,59.56294084
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,718x496,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,4461221.086,1193.341939,12.56972339,20580.05185,0.632371421,0.41639759,0.261570278,0.177226852,63.83991838
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,347x277,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,2033440,2426.798132,21.19292541,15259.38577,0.418284714,0.326371301,0.281826804,0.255854673,45.19933271
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,659x497,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,28863556.91,23102.44099,89.36998798,86378.96768,0.691420486,0.647378834,0.616075327,0.589128301,70.02156639
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,741x497,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,22512482.71,9733.220113,62.43183508,59242.98305,0.763314873,0.674211646,0.598808074,0.549356199,63.62553644
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,741x497,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,3824165.043,1320.711375,10.60521153,21822.90716,0.56384622,0.327491105,0.181082273,0.126494413,65.64087343
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PianoL,benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,707x481,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,12988016.46,4256.475832,40.35375188,37013.02166,0.776007134,0.670244894,0.587483766,0.52500202,63.72458291
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Piano,benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,707x481,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,4290862.824,972.2402981,13.33170575,17689.52879,0.662850236,0.468547851,0.355300851,0.289814636,66.17372203
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Pipes,benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,735x485,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,6573595.331,2273.916709,19.11362265,27965.15658,0.586281192,0.403507191,0.283238641,0.226635691,67.6705761
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playroom,benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,699x476,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,6579051.576,2610.144249,20.90392839,28661.56798,0.662959762,0.518415902,0.393628784,0.311662769,64.95118403
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,681x462,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,4397102.421,1474.674184,14.36238762,21247.99756,0.603029848,0.429248026,0.335700334,0.270602377,61.05641508
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playtable,benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,680x463,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,6379771.733,2209.588484,20.8220491,26019.35555,0.686995545,0.55968929,0.446041874,0.3668663,66.16184783
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Recycle,benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,720x486,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,3148993.013,603.3276444,9.152266893,14407.81498,0.653959839,0.446378176,0.289007664,0.188283096,97.08692551
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Shelves,benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,738x497,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,5964971.907,1295.057829,18.13254269,20640.46266,0.737187847,0.588147675,0.46455094,0.366111896,97.26815248
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,450x375,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,1237606,622.1883722,7.509198359,10126.40657,0.463588816,0.286544669,0.182165134,0.113850933,74.36475229
plusblg_40_3x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Vintage,benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0plusblg_40_3x3gc_3_gs_1_alph_0.png,722x480,None,3x3,blg_gs_1_gc_3_alpha_0,FALSE,23722759.74,15753.43118,70.13608643,72996.06023,0.813365697,0.735559767,0.659217299,0.579324087,82.65405178
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,718x496,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,7816132.956,2289.407672,22.02236279,28505.29762,0.704543021,0.544686378,0.409627012,0.321254487,58.03503656
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,347x277,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,2843269,3429.355168,29.63312802,18139.54793,0.513324787,0.443944179,0.397575795,0.364995987,40.48764014
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,659x497,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,29262743.55,24406.5943,90.60598622,88783.58261,0.695058628,0.652645626,0.6191035,0.589391486,57.24850965
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,741x497,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,26591284.97,11354.65285,73.74320902,63987.5639,0.818840077,0.769274501,0.717673388,0.67098363,60.48616838
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,741x497,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,6329281.888,2366.566372,17.55242583,29212.45056,0.611010197,0.412839406,0.27219885,0.207560879,60.74493313
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PianoL,benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,707x481,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,16376446.06,5443.28767,50.88159867,41856.22904,0.817358181,0.742700106,0.674659939,0.618830277,58.92476797
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Piano,benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,707x481,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,5447062.023,1341.824214,16.92401531,20781.518,0.679972907,0.496796684,0.382222996,0.315493982,61.18551421
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Pipes,benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,735x485,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,7784759.59,2902.037085,22.6352475,31592.3155,0.608658359,0.441178523,0.320060944,0.263016033,60.9190948
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playroom,benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,699x476,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,9044862.015,3866.634554,28.73866327,34884.64074,0.695279734,0.574422994,0.460003559,0.380970235,58.21244812
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,681x462,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,7653874.944,3192.202055,25.00008148,31261.88458,0.632577069,0.472200265,0.388634478,0.336327469,57.28211689
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playtable,benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,680x463,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,11496578.31,5383.331875,37.522082,40613.12559,0.709342515,0.589510273,0.48955107,0.424674032,56.65020514
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Recycle,benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,720x486,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,7088073.198,1757.079355,20.60085157,24587.65997,0.728497647,0.583110266,0.448433009,0.340137241,61.87444854
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Shelves,benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,738x497,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,8372586.664,2166.025647,25.45129927,26693.56902,0.7514842,0.616065539,0.50484398,0.414031888,63.14874482
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,450x375,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,1787647,970.3817501,10.84658277,12646.36537,0.491481203,0.32433318,0.220888042,0.156899983,45.23619986
plusblg_40_3x3gc_1_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Vintage,benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0plusblg_40_3x3gc_1_gs_2_alph_0.png,722x480,None,3x3,blg_gs_2_gc_1_alpha_0,FALSE,33494035.27,24612.72017,99.02475844,91241.33853,0.83566354,0.77579463,0.718249522,0.659776075,59.9368
plusblg_40_3x3gc_2_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0plusblg_40_3x3gc_2_gs_2_alph_0.png,718x496,None,3x3,blg_gs_2_gc_2_alpha_0,FALSE,5146801.219,1391.876177,14.50138122,22226.15371,0.654514564,0.45548831,0.304053331,0.214621406,53.64808822
